;titre;tag_1;Tag;;
667;salade de pommes de terre et de haddock;plat principal;poisson;;
668;purée de pommes de terre et de panais;plat principal;legume;;
670;gratin de betteraves et de pommes de terre;plat principal;legume;;
671;beignets de fleurs de courgettes et de courges;entrée;legume;;
673;gratin de ravioles de romans de virge;plat principal;Legume;;
674;dés de poulet moelleux aux endives, champignons et lardons;plat principal;viande;;
676;gratin de purées de carotte et pomme de terre;plat principal;legume;;
677;filet de colin sous son lit de carottes de ma maman;plat principal;poisson;;
678;paella de marisco (paella de fruits de mer);plat principal;poisson;;
679;barres de céréales aux chocolune grillon d’or;dessert;chocolat;;
680;gratin de fruits de mer de mamie zoizo;plat principal;poisson;;
681;papillotes de blanc de poulet et de lard fumé;plat principal;viande;;
682;gâteau de pommes de terre au confit de canard;plat principal;viande;;
683;mousse de thon de maman;entrée;poisson;;
684;sauté de nouilles aux crevettes en 25 minutes;plat principal;poisson;;
685;velouté de potiron et de topinambours;entrée;legume;;
686;confiture de clémentines de corse;confiserie;bonbon;;
687;beignets de carnaval de micheline;dessert;;;
688;magret de canard de la garigue;plat principal;viande;;
690;beignets de fleurs de sureau;dessert;autre;;
691;velouté de choux de bruxelles;entrée;legume;;
692;compote de pommes de juliet;dessert;bonbon;;
693;beignets de bananes et de pommes;dessert;Fruit;;
694;cookie cup glace vanille et pépites de chocolat;dessert;chocolat;;
696;gâteau de pommes de terre;plat principal;legume;;
697;confiture de fraises de danièle;confiserie;bonbon;;
700;salade de tomates et de mozzarella;entrée;Legume;;
701;velouté de fanes de carottes;entrée;legume;;
702;velouté de fanes de radis;entrée;legume;;
703;velouté de panais et de courgettes;entrée;legume;;
704;barre chocolat-noix de coco maison par laurent mariotte;dessert;chocolat;;
706;gelée de groseille et de cassis;confiserie;bonbon;;
707;galettes de pommes de terre;plat principal;legume;;
708;pâtes de fruits de coings;confiserie;bonbon;;
709;gratin express de chou-fleur à la mimolette;plat principal;legume;;
710;confiture de potiron et de pommes;confiserie;bonbon;;
712;galettes de pomme de terre;plat principal;legume;;
713;pâté de pommes de terre;plat principal;legume;;
714;galette des rois salée, jambon, épinards, fromage de chèvre;plat principal;viande;;
715;crépée de pomme de terre;entrée;legume;;
717;feuilleté de foies de volaille;entrée;viande;;
718;parmentier de confit de canard;plat principal;viande;;
719;cobbler aux poires, crème de cassis par laurent mariotte;plat principal;legume;;
721;blanquette de veau de ma mamie;plat principal;viande;;
722;croustilles de cuisses de grenouilles;entrée;poisson;;
723;confiture de bourgeons de sapin;confiserie;bonbon;;
724;tartines au beurre de cacahuètes skippy®️, fraises et pistaches;dessert;autres;;
725;sauté de veau de lisbonne;plat principal;viande;;
727;travers de porc de nonobabar;plat principal;viande;;
728;soupe de champignons de paris;entrée;legume;;
729;fricassée de pintade aux morilles & pommes et terre façon salardaise;plat principal;legume;;
730;jardinière de légumes de printemps;plat principal;legume;;
731;mousse de noix de coco;dessert;Fruit;;
733;gelée de pétales de roses;confiserie;Bonbon;;
734;aile de raie pochée, sauce aux herbes par laurent mariotte;plat principal;poisson;;
736;terrine de porc et de poulet;entrée;viande;;
737;brochette de boulettes de poulet;plat principal;viande;;
738;gratin de pâtes de fabien;plat principal;pates;;
739;la côte de bœuf au four facile et cuite à la perfection;plat principal;viande;;
741;paté de foie de volaille;entrée;viande;;
742;râpé de pommes de terre;plat principal;legume;;
743;crème de betterave et de feta;entrée;legume;;
744;bricks aux pommes de terre, carottes et aux petits pois;entrée;legume;;
746;brochette de boulette de boeuf;plat principal;viande;;
748;soupe de surimis et de crevettes;plat principal;Poisson;;
749;enchiladas épicés de poulet sauce tikka masala epicée patak's;plat principal;viande;;
750;papillotes de côtes de porc;plat principal;viande;;
751;tajine de poisson de zohra;plat principal;poisson;;
752;bruschetta de brandade de morue;entrée;poisson;;
753;daube de boeuf de sophie;plat principal;viande;;
754;quiche d’automne aux légumes, lait de coco et bouchées grillées;plat principal;legume;;
755;galettes de flocons de céréales;entrée;legume;;
757;blanquette de veau (de marielle);plat principal;viande;;
759;tour de pain d'épices, mousse à l'orange et nappage au nutella®;dessert;Epice;;
760;moules (de bouchot) de marielle;plat principal;poisson;;
761;pâté de tête de nadette;entrée;viande;;
762;blanquette de veau de la baronne;plat principal;viande;;
763;gratin de kiwis et de poires;dessert;fruit;;
764;parfait glacé à la pistache, sablé croquant et coulis de mangue;dessert;fruit;;
765;gelée de baies de sureau;confiserie;bonbon;;
766;compote de pommes de ma grand'mère;dessert;bonbon;;
767;mijotée de jarret de porc;plat principal;Viande;;
768;beignets de carnaval de mamina;dessert;Autres;;
769;curry de poulet au chou-fleur sauce butter chicken patak's;plat principal;viande;;
770;gratin de fruits de mer;plat principal;poisson;;
771;velouté de cocos de paimpol;entrée;legume;;
772;gâteau de crêpes de la mer;entrée;poisson;;
773;perles de coco de saho;dessert;fruit;;
774;confiture de fruits à noyaux facile et sans dénoyautage fastidieux;confiserie;bonbon;;
776;tartare de crabe et de saumon;entrée;poisson;;
777;tourte de la vallée de munster;plat principal;legume;;
779;pavé de saumon à l’unilatérale, pour une cuisson parfaite à tous les coups;plat principal;poisson;;
781;casserole de fruits de mer;plat principal;poisson;;
782;bigalan de pommes de terre;plat principal;legume;;
783;carbonade de joue de boeuf;plat principal;viande;;
784;butternut, panais et riz noix de coco à la sauce korma patak’s;plat principal;legume;;
785;trapixat de légumes de saison;entrée;legume;;
786;fromage de tête de sanglier;entrée;viande;;
787;fricot de vesses-de-loup;entrée;viande;;
788;velouté de pommes de terre;entrée;legume;;
789;blanc de poulet sauce aux champignons et poireaux au four en 30 minutes;plat principal;viande;;
791;filets de maquereaux de dieppe;plat principal;poisson;;
792;feuilleté de magret de canard;plat principal;viande;;
793;ragoût de poulet ou de dinde;plat principal;viande;;
795;verrine de purée de banane et son tartare de pommes;dessert;fruit;;
797;gratin de pomme de terre et  de saumon fumé;plat principal;legume;;
798;salade de pommes de terre au confit de canard;entrée;viande;;
799;bircher muesli aux fruits d’été relevé de fleur des alpes, le sel gourmet suisse;dessert;fruit;;
800;salade de carottes croquantes, oranges, et pesto de fanes de carottes de caleigh;plat principal;legume;;
803;tartare de saumon sur lit de concombre de saby;entrée;poisson;;
804;gratin de penne à la mozzarella et à la sauce tomate épicée, moelleux à souhait;plat principal;pates;;
805;creme de cresson et de pommes de terre;entrée;legume;;
806;salade de pommes de terre des bords de mer;entrée;legume;;
809;verrines poires rôties aux épices, noix de pécan et crème légère vanille et skyr;dessert;fruit;;
810;mousse de foie de volaille;entrée;viande;;
811;terrine de lotte ou de cabillaud;entrée;poisson;;
812;nids de pomme de terre;entrée;legume;;
813;pâté de foie de porc;entrée;viande;;
814;salade sucrine, patate douce rôtie, riz complet, graines de courge, sauce aux herbes et st môret;plat principal;legume;;
817;barquettes de gelée de fraise;dessert;fruit;;
819;mon pain d'épices aux pruneaux par laurent mariote;dessert;Epice;;
820;crépinette de pieds de cochons;plat principal;viande;;
821;farandole de desserts de nanou;dessert;autres;;
822;ceviche de dos de cabillaud;plat principal;poisson;;
824;tigrés au chocolat par laurent mariotte;dessert;chocolat;;
825;confiture de figues de barbarie;confiserie;bonbon;;
827;mousse de foies de volaille;entrée;viande;;
828;gnocchis de pomme de terre;plat principal;legume;;
829;tomates caprese par laurent mariotte;entrée;legume;;
830;beignets de fleurs de courgettes;entrée;legume;;
832;gelée de groseilles et de framboises;confiserie;bonbon;;
833;goulache de pommes de terre;plat principal;legume;;
834;pintade à l'estragon;plat principal;viande;;
835;conserve de pâté de porc;entrée;viande;;
836;velouté de champignons de paris;entrée;legume;;
838;gâteau de foie de lapin;plat principal;viande;;
839;panacotta vegan au coulis menthe-citron;dessert;fruit;;
840;daube de jarret de boeuf;plat principal;viande;;
841;rouelle de jambon de porc;plat principal;viande;;
842;conserve de pâté de faisan;entrée;viande;;
843;gâteau de foies de volaille;plat principal;viande;;
844;cookies bi-goût;dessert;chocolat;;
845;gratin de coeurs de palmier;entrée;legume;;
849;gâteau au chocolat par laurent mariotte;dessert;chocolat;;
850;tortilla de pommes de terre;entrée;legume;;
851;cassolette de fruits de mer;entrée;poisson;;
852;rôti de porc de dijon;plat principal;viande;;
853;confiture de citron de sissi;confiserie;bonbon;;
854;basse-côte grillée, ketchup maison par laurent mariotte;plat principal;viande;;
855;colombo de poulet (ou de porc);plat principal;viande;;
856;délice de manioc de nathalie;dessert;fruit;;
857;daube de sanglier et de boeuf;plat principal;viande;;
858;galette de peau de lait;dessert;autres;;
859;billes d'énergies datte, noisette et flocons d'avoine;confiserie;bonbon;;
860;buns de pain de mie;entrée;legume;;
861;gratin de pâtes de margaux;plat principal;pates;;
863;salade de poireaux et de feta;entrée;legume;;
866;salade de magret de canard;entrée;viande;;
867;poêlée de légumes de saison;plat principal;legume;;
869;"sablés italiens ""frollini"" fourrés au nutella®";dessert;chocolat;;
870;salade de riz de nounou;entrée;pates;;
871;confiture de pêches de vigne;confiserie;bonbon;;
872;flan de julienne de légumes;plat principal;legume;;
873;cassolettes de fruits de mer;entrée;poisson;;
874;sorbet fraise-basilic par laurent mariotte;dessert;fruit;;
875;soupe de poireaux et de carottes;entrée;legume;;
876;terrine de foies de volaille;entrée;viande;;
877;beignets de pomme de mon papi;dessert;fruit;;
878;parmentier de saumon de norvege;plat principal;poisson;;
879;pancakes fluffy coco;dessert;fruit;;
881;terrine de foie de sanglier;entrée;viande;;
882;confiture de fleurs de pissenlits;confiserie;bonbon;;
883;bourguignon de joue de boeuf;plat principal;viande;;
885;beignets de blancs de seiche;entrée;poisson;;
887;verrine de mousse de mangue;dessert;fruit;;
889;pintade farcie au foie gras et légumes oubliés;plat principal;viande;;
893;cœur de filet de loup de mer (bar) au four;plat principal;poisson;;
894;blanquette végétarienne;plat principal;legume;;
895;soupe de courge, feuilles de blettes et lait de coco;entrée;legume;;
896;gratin de pomme de terre fondant et rôti de porc;plat principal;legume;;
897;la terrine de foie de porc de ma tante gisèle;entrée;viande;;
900;papillote de saumon sur lit de fenouil et de carotte au cumin;plat principal;poisson;;
901;purée de pomme de terre, au lait de coco et au café;plat principal;legume;;
902;soupe repas de pommes de terre et de persil au pesto;plat principal;legume;;
903;gratin de choux de bruxelles aux gésiers de canard;plat principal;viande;;
904;galette au comté;plat principal;legume;;
905;dos de cabillaud à la crème de gingembre et pommes de terre au vinaigre de framboises;plat principal;poisson;;
906;filet de bar en croûte de chorizo, purée et mousse de haricots cocos de paimpol;entrée;poisson;;
907;pâte de coings (utilisation des restes de gelée de coing);confiserie;bonbon;;
909;crèmes brûlées à la châtaigne;dessert;autres;;
910;papillotes de filets de poissons aux salicornes de mer;plat principal;poisson;;
911;conserve de pâté de porc facile;entrée;viande;;
912;quiche de poulet et pommes de terre;plat principal;viande;;
913;confiture de lait au sel de guérande;confiserie;Bonbon;;
914;gaspacho vert et granola salé;entrée;legume;;
915;escalope de dinde panée de aude;plat principal;viande;;
916;crème de maracuja (fruit de la passion);dessert;fruit;;
917;blanc de poulet au jambon de pays;plat principal;viande;;
918;gâteau au nappage de chocolat et de caramel;dessert;chocolat;;
920;la soupe de crabes de daniel;entrée;poisson;;
922;pavé de veau au coulis de champignons;plat principal;viande;;
924;samossas d’orties, chèvre et noisettes;entrée;legume;;
925;gâteau de patate douce de ma maman;dessert;fruit;;
926;kolokke (beignets de pomme de terre);entrée;legume;;
927;papillotes de filets de sabre au curry;plat principal;poisson;;
928;papillotes de pavés de saumon simple;plat principal;poisson;;
929;sandre au cresson par laurent mariotte;plat principal;poisson;;
931;poêlées de pommes de terre ibérique;plat principal;legume;;
933;salade de pâtes de sophie k;plat principal;pates;;
934;panna cotta tricolore au nutella®;dessert;chocolat;;
935;gratin de pommes de terre au figatellu;plat principal;legume;;
936;brochettes de poulet fumé de maud;plat principal;viande;;
937;poêlée de poireaux et fruits de mer;plat principal;poisson;;
938;beignets de fleurs de courgettes faciles;entrée;legume;;
939;boeuf bourguignon au cookeo;plat principal;viande;;
940;brick de poires au fromage de chèvre;entrée;legume;;
943;beignets de pommes de terre et maïs;plat principal;legume;;
944;cheesecake pecan caramel au lait concentré sucré;dessert;autres;;
945;dhaal de lentille au lait de coco;plat principal;legume;;
946;mousse de poireaux au jambon de parme.;entrée;viande;;
947;gratin de pommes de terre en béchamel;plat principal;legume;;
948;poêlée de pommes de terre nouvelles;plat principal;legume;;
949;chakshouka green en 25 minutes;plat principal;legume;;
950;salade de gésiers au vinaigre de framboises;entrée;viande;;
951;compote de pommes et de poires meringuée;dessert;fruit;;
953;tourte de pommes de terre au chorizo;plat principal;legume;;
954;one pot pasta aux saveurs d’asie;plat principal;pate;;
955;flan de carottes et pommes de terres;plat principal;legume;;
956;foie de lapin sur lit de carottes;plat principal;viande;;
957;paillassons de carottes et pommes de terre;entrée;legume;;
958;boulettes de boeuf (avec restes de rôti);plat principal;viande;;
959;mini kouglofs aux saumons, chantilly au raifort;entrée;poisson;;
960;gratin de pommes de terre et ses légumes;plat principal;legume;;
961;hachis parmentier de carottes et de poulet;plat principal;viande;;
962;salade de pommes de terre et cornichons;plat principal;legume;;
963;curry de noix de saint jacques;plat principal;poisson;;
966;verrine de noix de st jacques;plat principal;poisson;;
967;salade de kiwis et tomates de lili;entrée;legume;;
968;flan de saumon au coulis de concombre;entrée;poisson;;
969;le gratin comtois;plat principal;legume;;
970;choux garnis de chantilly et de fraises;dessert;fruit;;
971;gratin de chou-fleur et de thon;plat principal;legume;;
972;flan de courgette et son coulis de tomate;plat principal;legume;;
973;soupe de brocolis au lait de coco;entrée;legume;;
974;choux farcis par laurent mariotte;plat principal;viande;;
975;galettes de pommes de terre d'alsace;plat principal;legume;;
976;papillote de cabillaud et sa julienne de légumes;plat principal;poisson;;
978;gratin de choux fleur et de brocoli;plat principal;legume;;
979;tarte aux fraises choco-noisettes au nutella®;dessert;chocolat;;
980;les palets de dame de michel;dessert;autres;;
981;velouté de patates douces et de poires;entrée;legume;;
982;soupe de cresson au lait de soja;entrée;legume;;
983;dos de bar en crumble de chorizo;plat principal;poisson;;
984;brownie fumé au barbecue par laurent mariotte;dessert;chocolat;;
985;velouté de carottes au lait de coco;entrée;legume;;
986;roulé de dinde et duxelle de champignons;plat principal;viande;;
988;confiture de pétales de roses anciennes;confiserie;bonbon;;
989;bûche pavlova aux fruits exotiques;dessert;fruit;;
990;cuissot de cochon de lait au four;plat principal;viande;;
991;gâteau de savoie au zeste de citron;dessert;fruit;;
994;chaussons aux prunes rouges;dessert;fruit;;
995;aiguillettes de poulet et crème de citron;plat principal;viande;;
998;soupe de butternut au lait de chèvre;entrée;legume;;
999;chou-fleur sauté au porc;plat principal;viande;;
1000;velouté de chou-fleur de ma mamy;plat principal;legume;;
1001;pâté de campagne de mémé marie;entrée;viande;;
1002;lasagnes de courgettes au hachis de dinde et lait de coco;plat principal;viande;;
1003;gratin de pommes de terre aux filets de poisson;plat principal;poisson;;
1004;panna cotta onctueuse;dessert;autres;;
1005;le gratin d'andouille et de pommes de terre de daniel;plat principal;viande;;
1006;la cataplana de porc ou de morue de mon voisin portugais;plat principal;viande;;
1008;terrine de joue et queue de boeuf au coulis de tomate;plat principal;viande;;
1009;banana bread 100% antigaspi;dessert;fruit;;
1010;fricassée de foie de veau aux choux de bruxelles;plat principal;viande;;
1011;cocotte de cuisses de canard au four avec pommes de terre;plat principal;viande;;
1012;beignets de carnaval de la maman d'eugénie;dessert;autres;;
1013;terrine de foies de volaille au riesling;entrée;viande;;
1015;coupe de framboises et de cookies au mascarpone;dessert;fruit;;
1016;verrines de mousse de framboises et spéculoos;dessert;fruit;;
1017;salade de crevettes et de pamplemousse rose;entrée;poisson;;
1018;"salade de pommes de terre ""isa""";plat principal;legume;;
1020;pain de bruges de tante louisette;plat principal;legume;;
1021;coupe de fruits et de biscuits au chocolat;dessert;fruit;;
1023;pomme de terre jour de pluie;plat principal;legume;;
1024;fraises à la crème xxl par laurent mariotte;dessert;autres;;
1026;quenelle de pomme de terre (ou floutes);plat principal;legume;;
1027;parmentier de confit de canard au cookeo;plat principal;viande;;
1028;parmentier de confit de canard au companion;plat principal;viande;;
1029;moules farcies en persillade par laurent mariotte;plat principal;poisson;;
1030;caviar de tomates au jus de tomates;entrée;legume;;
1031;saltimbocca de veau & jambon de parme;plat principal;viande;;
1032;feuilleté de saumon sur lit de poireaux;entrée;poisson;;
1033;tian de courgettes de grand-mère;entrée;legume;;
1034;poires au vin;dessert;fruit;;